Province.State,Confirmed,Deaths
Arizona,5,0
California,104,1
Colorado,8,0
Connecticut,1,0
Florida,14,2
Georgia,10,0
Hawaii,2,0
Illinois,7,0
Indiana,3,0
Iowa,3,0
Kansas,1,0
Kentucky,4,0
Louisiana,1,0
Maryland,5,0
Massachusetts,24,0
Minnesota,2,0
Missouri,1,0
Nebraska,3,0
Nevada,4,0
New Hampshire,5,0
New Jersey,5,0
New York,142,0
North Carolina,2,0
Oklahoma,1,0
Oregon,12,0
Pennsylvania,7,0
Rhode Island,3,0
South Carolina,6,0
Tennessee,3,0
Texas,14,0
Utah,1,0
Vermont,1,0
Virginia,2,0
Washington,128,19
Wisconsin,1,0
