Province.State,Confirmed,Deaths
Alabama,78,0
Alaska,9,0
Arizona,45,0
Arkansas,62,0
California,952,18
Colorado,277,4
Connecticut,159,2
Delaware,30,0
Diamond Princess,47,0
District of Columbia,40,0
Florida,417,9
Georgia,287,10
Grand Princess,22,0
Guam,12,0
Hawaii,16,0
Idaho,11,0
Illinois,422,4
Indiana,60,2
Iowa,44,0
Kansas,34,1
Kentucky,37,2
Louisiana,392,10
Maine,52,0
Maryland,107,1
Massachusetts,328,0
Michigan,334,3
Minnesota,89,0
Mississippi,50,1
Missouri,31,1
Montana,11,0
Nebraska,29,0
Nevada,95,1
New Hampshire,44,0
New Jersey,742,9
New Mexico,35,0
New York,5365,34
North Carolina,123,0
North Dakota,18,0
Ohio,119,0
Oklahoma,44,1
Oregon,88,3
Pennsylvania,206,1
Puerto Rico,5,0
Rhode Island,44,0
South Carolina,81,1
South Dakota,11,1
Tennessee,154,0
Texas,260,5
US,1,0
United States Virgin Islands,2,0
Utah,80,0
Vermont,22,0
Virgin Islands,3,0
Virginia,99,2
Washington,1376,74
West Virginia,2,0
Wisconsin,159,0
Wyoming,18,0
