Province.State,Confirmed,Deaths
Alabama,4888,157
Alaska,319,9
Arizona,4933,184
Arkansas,1781,39
California,31431,1177
Colorado,9730,420
Connecticut,17962,1127
Delaware,2538,67
Diamond Princess,49,0
District of Columbia,2793,96
Florida,26314,774
Georgia,18301,687
Grand Princess,103,0
Guam,136,5
Hawaii,580,10
Idaho,1668,44
Illinois,30357,1290
Indiana,11211,562
Iowa,2902,75
Kansas,1905,93
Kentucky,2960,146
Louisiana,23928,1296
Maine,867,34
Maryland,12847,461
Massachusetts,38077,1706
Michigan,31424,2391
Minnesota,2356,134
Mississippi,4274,159
Missouri,5743,199
Montana,433,10
Nebraska,1474,28
Nevada,3728,158
New Hampshire,1390,38
New Jersey,85301,4362
New Mexico,1845,55
New York,247815,18298
North Carolina,6601,200
North Dakota,585,9
Northern Mariana Islands,14,2
Ohio,11602,471
Oklahoma,2567,140
Oregon,1910,74
Pennsylvania,32902,1276
Puerto Rico,1213,62
Recovered,0,0
Rhode Island,4706,150
South Carolina,4377,120
South Dakota,1635,7
Tennessee,7070,148
Texas,19260,490
Utah,3069,27
Vermont,813,38
Virgin Islands,53,3
Virginia,8542,277
Washington,12255,636
West Virginia,890,18
Wisconsin,4346,220
Wyoming,313,2
